"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11505","testFullUserLifecycle","Surefire suite","2026-06-02","passed","2026-06-02","com.hapifyme.api.tests.FullUserLifecycleTest","Surefire test","com.hapifyme.api.tests.FullUserLifecycleTest","testFullUserLifecycle"
"","208","Login eșuat cu date invalide","","2026-06-02","broken","2026-06-02","","Autentificarea în HapifyMe","Login eșuat cu date invalide",""
"","194","Adaugare postare multipla","","2026-06-02","broken","2026-06-02","","Postare noua","Adaugare postare multipla",""
"","208","Adauga o postare in platforma HapifyMe","","2026-06-02","broken","2026-06-02","","Postare noua","Adauga o postare in platforma HapifyMe",""
"","2110","Login cu succes folosind credențiale valide","","2026-06-02","broken","2026-06-02","","Autentificarea în HapifyMe","Login cu succes folosind credențiale valide",""
"","200","Login eșuat cu date invalide","","2026-06-02","broken","2026-06-02","","Autentificarea în HapifyMe","Login eșuat cu date invalide",""
"","199","Adaugare postare multipla","","2026-06-02","broken","2026-06-02","","Postare noua","Adaugare postare multipla",""
"","202","Utilizatorul editeaza profilul","","2026-06-02","broken","2026-06-02","","Editare profil","Utilizatorul editeaza profilul",""
"","199","Adaugare postare multipla","","2026-06-02","broken","2026-06-02","","Postare noua","Adaugare postare multipla",""
