"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","Adaugare postare multipla","","2026-06-02","broken","2026-06-02","","Postare noua","Adaugare postare multipla",""
"","10088","testFullUserLifecycle","Surefire suite","2026-06-02","passed","2026-06-02","com.hapifyme.api.tests.FullUserLifecycleTest","Surefire test","com.hapifyme.api.tests.FullUserLifecycleTest","testFullUserLifecycle"
"","180","Adaugare postare multipla","","2026-06-02","broken","2026-06-02","","Postare noua","Adaugare postare multipla",""
"","1376","Login cu succes folosind credențiale valide","","2026-06-02","broken","2026-06-02","","Autentificarea în HapifyMe","Login cu succes folosind credențiale valide",""
"","182","Adauga o postare in platforma HapifyMe","","2026-06-02","broken","2026-06-02","","Postare noua","Adauga o postare in platforma HapifyMe",""
"","186","Login eșuat cu date invalide","","2026-06-02","broken","2026-06-02","","Autentificarea în HapifyMe","Login eșuat cu date invalide",""
"","183","Utilizatorul editeaza profilul","","2026-06-02","broken","2026-06-02","","Editare profil","Utilizatorul editeaza profilul",""
"","199","Login eșuat cu date invalide","","2026-06-02","broken","2026-06-02","","Autentificarea în HapifyMe","Login eșuat cu date invalide",""
"","180","Adaugare postare multipla","","2026-06-02","broken","2026-06-02","","Postare noua","Adaugare postare multipla",""
